Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Maria Belibasaki,Greece,21,,,F,6/19/1991,Athletics,Women's 100m; Women's 200m,,,,
Maria Bertelli,Great Britain,34,171,63,F,10/06/1977,Volleyball,Women's Volleyball,,,,
Maria Borisenko,Russian Federation,26,190,80,F,03/08/1986,Volleyball,Women's Volleyball,,,,
Maria Catalina Usme,Colombia,22,165,65,F,12/25/1989,Football,Women's Football,,,,
Maria Clara Giai Pron,Italy,20,163,55,F,7/31/1992,Canoe Slalom,Women's Kayak (K1),,,,
Maria Clara Rohner,Argentina,27,170,59,F,04/01/1985,Rowing,Women's Lightweight Double Sculls,,,,
Maria Czakova,Slovakia,23,166,60,F,10/02/1988,Athletics,Women's 20km Race Walk,,,,
Maria Czesnik,Poland,35,167,54,F,08/03/1977,Triathlon,Women's Triathlon,,,,
Maria del Rosario Espinoza,Mexico,24,173,,F,11/29/1987,Taekwondo,Women's +67kg,,,,
Maria Elena Espeso,Spain,39,161,48,F,10/10/1972,Athletics,Women's Marathon,,,,
Maria Enrica Spacca,Italy,26,164,55,F,3/20/1986,Athletics,Women's 4 x 400m Relay,,,,
Maria Fernanda Gonzalez Ramirez,Mexico,22,175,60,F,4/25/1990,Swimming,Women's 100m Backstroke; Women's 200m Backstroke,,,,
Maria Fernanda Sesto,Argentina,35,158,52,F,10/08/1976,Sailing,Women's 470,,,,
Maria Fernanda Valdes,Chile,20,162,75,F,3/17/1992,Weightlifting,Women's 75kg,,,,
Maria Garcia,Dominican Republic,24,155,52,F,8/19/1987,Judo,Women's -52kg,,,,
Maria Gromova,Russian Federation,28,173,,F,7/20/1984,Synchronised Swimming,Women's Teams,,,,
Maria Gromova,Russian Federation,24,170,62,F,2/28/1988,Swimming,Women's 4x100m Medley Relay,,,,
Maria Grozdeva,Bulgaria,40,166,58,F,6/23/1972,Shooting,Women's 10m Air Pistol; Women's 25m Pistol,,,,
Maria Homolova,Slovakia,24,161,,F,9/29/1987,Gymnastics - Artistic,Women's Qualification,,,,
Maria Jose Martinez Sanchez,Spain,29,176,68,F,08/12/1982,Tennis,Women's Singles; Women's Doubles,,,,
Maria Jose Poves,Spain,34,168,52,F,3/16/1978,Athletics,Women's 20km Race Walk,,,,
Maria Kirilenko,Russian Federation,25,174,60,F,1/25/1987,Tennis,Women's Singles; Women's Doubles,YES,,,0.5
Maria Kurjo,Germany,22,158,52,F,12/10/1989,Diving,Women's 10m Platform,,,,
Maria Laura Abalo,Argentina,30,182,73,F,8/17/1981,Rowing,Women's Pair,,,,
Maria Liku,Fiji,22,158,61,F,4/27/1990,Weightlifting,Women's 63kg,,,,
Maria Luisa Calle Williams,Colombia,43,168,52,F,10/03/1968,Cycling - Road; Cycling - Track,Women's Individual Time Trial; Women's Omnium,,,,
Maria Martinez,Venezuela,29,170,59,F,01/03/1983,Fencing,Women's Individual Epee,,,,
Maria Mcqueen Dunn,Guam,26,165,63,F,03/06/1986,Wrestling,Women's 63kg Freestyle,,,,
Maria Michta,United States of America,26,165,51,F,6/23/1986,Athletics,Women's 20km Race Walk,,,,
Maria Paseka,Russian Federation,17,159,,F,7/19/1995,Gymnastics - Artistic,Women's Team; Women's Qualification,YES,,0.2,1
Maria Peralta,Argentina,34,167,49,F,11/30/1977,Athletics,Women's Marathon,,,,
Maria Perepelkina,Russian Federation,28,187,72,F,03/09/1984,Volleyball,Women's Volleyball,,,,
Maria Portela,Brazil,24,,69,F,1/14/1988,Judo,Women's -70kg,,,,
Maria Prevolaraki,Greece,20,162,55,F,12/21/1991,Wrestling,Women's 55kg Freestyle,,,,
Maria Sharapova,Russian Federation,25,188,59,F,4/19/1987,Tennis,Women's Singles,YES,,1,
Maria Sidorova,Russian Federation,32,178,74,F,11/21/1979,Handball,Women's Handball,,,,
Maria Suelen Altheman,Brazil,23,175,78,F,08/12/1988,Judo,Women's +78kg,,,,
Maria Tsiartsiani,Greece,31,178,67,F,10/21/1980,Beach Volleyball,Women's Beach Volleyball,,,,
Maria Vasco,Spain,36,157,47,F,12/26/1975,Athletics,Women's 20km Race Walk,,,,
Maria Virginia Zonta,Argentina,22,170,64,F,9/30/1989,Beach Volleyball,Women's Beach Volleyball,,,,
Mariaesthela Vilera,Venezuela,23,165,70,F,12/26/1988,Cycling - Track,Women's Team Sprint,,,,
Mariam Omar,Egypt,19,166,,F,2/27/1993,Synchronised Swimming,Women's Teams,,,,
Mariama Signate,France,27,189,84,F,7/22/1985,Handball,Women's Handball,,,,
Marian Heffernan,Ireland,30,171,63,F,4/16/1982,Athletics,Women's 4 x 400m Relay,,,,
Mariana Avitia,Mexico,18,164,61,F,9/18/1993,Archery,Women's Individual; Women's Team,YES,,,1
Mariana Duque-Marino,Colombia,22,169,61,F,08/12/1989,Tennis,Women's Singles,,,,
Mariana Henriques,Angola,18,160,55,F,7/27/1994,Swimming,Women's 50m Freestyle,,,,
Mariana Lobato,Portugal,24,171,69,F,12/23/1987,Sailing,Women's Elliott 6m,,,,
Mariana Pajon,Colombia,20,158,53,F,10/10/1991,Cycling - BMX,Women's BMX,,,,
Mariana Silva,Brazil,22,172,63,F,2/22/1990,Judo,Women's -63kg,,,,
Mariangela Perrupato,Italy,23,170,,F,9/15/1988,Synchronised Swimming,Women's Duets,,,,
Marianna Lymperta,Greece,33,167,53,F,6/25/1979,Swimming,Women's 10km Marathon,,,,
Marianna Sastin,Hungary,29,161,63,F,07/10/1983,Wrestling,Women's 63kg Freestyle,,,,
Marianne Bonde Petersen,Denmark,28,184,72,F,6/25/1984,Handball,Women's Handball,,,,
Marianne Vos,Netherlands,25,169,52,F,5/13/1987,Cycling - Road,Women's Individual Time Trial; Women's Road Race,YES,1,,
Marianthi Zafeiriou,Greece,18,170,,F,1/29/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Maribel Pineda,Venezuela,32,170,80,F,4/29/1980,Shooting,Women's 10m Air Pistol; Women's 25m Pistol,,,,
Marie Delattre-Demory,France,31,172,61,F,03/04/1981,Canoe Sprint,Women's Kayak Four (K4) 500m,,,,
Marie Gayot,France,23,171,57,F,2/18/1989,Athletics,Women's 4 x 400m Relay,,,,
Marie Gerbron,Great Britain,25,166,64,F,12/23/1986,Handball,Women's Handball,,,,
Marie Hammarstrom,Sweden,30,170,65,F,3/29/1982,Football,Women's Football,,,,
Marie Mavers,Germany,21,170,68,F,2/13/1991,Hockey,Women's Hockey,,,,
Marie Meza,Costa Rica,21,163,55,F,11/20/1990,Swimming,Women's 100m Butterfly,,,,
Marie Muller,Luxembourg,27,162,52,F,7/29/1985,Judo,Women's -52kg,,,,
Marie Riou,France,30,172,68,F,8/21/1981,Sailing,Women's Elliott 6m,,,,
Marie-Andree Lessard,Canada,34,168,61,F,12/06/1977,Beach Volleyball,Women's Beach Volleyball,,,,
Marie-Eve Beauchemin-Nadeau,Canada,23,166,69,F,10/13/1988,Weightlifting,Women's 69kg,,,,
Marie-Eve Nault,Canada,30,171,65,F,2/16/1982,Football,Women's Football,YES,,,0.09
Marie-Josee Ta Lou,C̫te d'Ivoire,23,159,50,F,11/18/1988,Athletics,Women's 200m,,,,
Marie-Laure Delie,France,24,172,65,F,1/29/1988,Football,Women's Football,,,,
Marie-Louise Draeger,Germany,31,170,59,F,04/11/1981,Rowing,Women's Single Sculls,,,,
Marie-Pier Beaudet,Canada,25,164,60,F,12/12/1986,Archery,Women's Individual,,,,
Marie-Pier Boudreau Gagnon,Canada,29,165,,F,03/03/1983,Synchronised Swimming,Women's Duets; Women's Teams,,,,
Mariel Zagunis,United States of America,27,173,76,F,03/03/1985,Fencing,Women's Individual Sabre,,,,
Mariela Scarone,Argentina,25,163,60,F,10/04/1986,Hockey,Women's Hockey,,,,
Marielis Sanchez,Dominican Republic,23,168,57,F,12/30/1988,Athletics,Women's 200m,,,,
Mariem Alaoui Selsouli,Morocco,28,158,42,F,07/08/1984,Athletics,Women's 1500m; Women's 5000m,,,,
Mariette Rix,South Africa,31,166,63,F,04/08/1981,Hockey,Women's Hockey,,,,
Mariia Kovtunovskaia,Russian Federation,23,165,61,F,12/19/1988,Water Polo,Women's Water Polo,,,,
Mariia Liver,Ukraine,21,,,F,11/11/1990,Swimming,Women's 100m Breaststroke,,,,
Marija Jovanovic,Montenegro,26,182,71,F,12/26/1985,Handball,Women's Handball,,,,
Marija Sestak,Slovenia,33,173,59,F,4/17/1979,Athletics,Women's Triple Jump,,,,
Marija Vrsaljko,Croatia,22,196,80,F,08/08/1989,Basketball,Women's Basketball,,,,
Marijana Miskovic,Croatia,30,166,63,F,07/08/1982,Judo,Women's -63kg,,,,
Marika Popowicz,Poland,24,164,53,F,4/28/1988,Athletics,Women's 4 x 100m Relay,,,,
Mariko Adachi,Japan,29,162,51,F,7/21/1983,Triathlon,Women's Triathlon,,,,
Mariko Sakai,Japan,21,165,,F,12/03/1990,Synchronised Swimming,Women's Teams,,,,
Marilson dos Santos,Brazil,34,173,57,M,08/06/1977,Athletics,Men's Marathon,,,,
Marilyn Agliotti,Netherlands,33,171,61,F,6/23/1979,Hockey,Women's Hockey,,,,
Marilyn Okoro,Great Britain,27,167,60,F,9/23/1984,Athletics,Women's 4 x 400m Relay,,,,
Marin Cilic,Croatia,23,198,87,M,9/28/1988,Tennis,Men's Singles; Men's Doubles,,,,
Marin Lovrovic,Croatia,39,187,101,M,6/16/1973,Sailing,Men's Star,,,,
Marina Aitova,Kazakhstan,29,178,59,F,9/13/1982,Athletics,Women's High Jump,,,,
Marina Alabau Neira,Spain,26,164,55,F,8/31/1985,Sailing,Women's RS-X,YES,1,,
Marina Belikova,Russian Federation,26,173,58,F,11/24/1985,Shooting,Women's Skeet,,,,
Marina Damlaimcourt,Spain,32,156,46,F,10/15/1979,Triathlon,Women's Triathlon,,,,
Marina Garcia Urzainqui,Spain,18,168,57,F,06/06/1994,Swimming,Women's 100m Breaststroke; Women's 200m Breaststroke; Women's 4x100m Medley Relay,,,,
Marina Kuzina,Russian Federation,27,194,83,F,7/19/1985,Basketball,Women's Basketball,,,,
Marina Makanza,France,21,166,62,F,07/01/1991,Football,Women's Football,,,,
Marina Marghieva,Republic of Moldova,26,186,83,F,6/28/1986,Athletics,Women's Hammer Throw,,,,
Marina Maslenko,Kazakhstan,30,164,57,F,07/03/1982,Athletics,Women's 400m,,,,
Marina Muncan,Serbia,29,165,51,F,11/06/1982,Athletics,Women's 1500m,,,,
Marina Shults,Israel,17,,,F,12/18/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Marina Sisoeva,Uzbekistan,19,150,48,F,5/30/1993,Weightlifting,Women's 48kg,,,,
Marina Volnova,Kazakhstan,23,170,,F,7/26/1989,Boxing,Women's Middle (75kg),YES,,,1
Marina Vukcevic,Montenegro,18,175,69,F,8/24/1993,Handball,Women's Handball,,,,
Marina Zgurscaia,Republic of Moldova,23,165,65,F,6/21/1989,Shooting,Women's 10m Air Pistol,,,,
Mario Bazan,Peru,24,175,64,M,09/01/1987,Athletics,Men's 3000m Steeplechase,,,,
Mario Cejas,Argentina,34,181,75,M,8/28/1977,Rowing,Men's Lightweight Double Sculls,,,,
Mario Garcia Rodriguez,Spain,29,190,91,M,7/15/1983,Water Polo,Men's Water Polo,,,,
Mario Gyr,Switzerland,27,187,76,M,05/02/1985,Rowing,Men's Lightweight Four,,,,
Mario Martinez,Honduras,23,170,70,M,7/30/1989,Football,Men's Football,,,,
Mario Mola,Spain,22,178,59,M,2/23/1990,Triathlon,Men's Triathlon,,,,
Mario Montoya,Costa Rica,22,195,96,M,8/18/1989,Swimming,Men's 200m Freestyle,,,,
Mario Paonessa,Italy,21,193,95,M,12/09/1990,Rowing,Men's Four,,,,
Mario Pestano,Spain,34,194,120,M,04/08/1978,Athletics,Men's Discus Throw,,,,
Mario Todorovic,Croatia,23,186,80,M,10/11/1988,Swimming,Men's 50m Freestyle,,,,
Mario Vekic,Croatia,29,190,94,M,12/27/1982,Rowing,Men's Single Sculls,,,,
Marion Farissier,France,20,164,64,F,11/23/1991,Diving,Women's 3m Springboard,,,,
Marion Laborde,France,25,178,75,F,12/09/1986,Basketball,Women's Basketball,,,,
Marion Lotout,France,22,165,50,F,11/19/1989,Athletics,Women's Pole Vault,,,,
Marion Wagner,Germany,34,178,60,F,02/01/1978,Athletics,Women's 4 x 100m Relay,,,,
Marios Athanasiadis,Cyprus,25,179,70,M,10/31/1986,Cycling - Mountain Bike,Men's Cross-country,,,,
Maris Urtans,Latvia,31,187,123,M,02/09/1981,Athletics,Men's Shot Put,,,,
Marisa Barros,Portugal,32,160,50,F,2/25/1980,Athletics,Women's Marathon,,,,
Marisa de Aniceto,France,25,162,52,F,11/11/1986,Athletics,Women's Heptathlon,,,,
Marisa Lavanchy,Switzerland,22,170,58,F,01/04/1990,Athletics,Women's 4 x 100m Relay,,,,
Marisol Romero,Mexico,29,155,46,F,1/26/1983,Athletics,Women's Marathon,,,,
Marit Bouwmeester,Netherlands,24,177,66,F,6/17/1988,Sailing,Women's Laser Radial,YES,,1,
Marit Dopheide,Netherlands,21,179,61,F,12/28/1990,Athletics,Women's 4 x 100m Relay,,,,
Marit Malm Frafjord,Norway,26,182,,F,11/25/1985,Handball,Women's Handball,,,,
Marius Cocioran,Romania,29,178,76,M,07/10/1983,Athletics,Men's 50km Race Walk,,,,
Marius Daniel Berbecar,Romania,27,166,,M,5/15/1985,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Marius Ionescu,Romania,27,171,55,M,12/18/1984,Athletics,Men's Marathon,,,,
Marius Paskevicius,Lithuania,32,198,115,M,10/31/1979,Judo,Men's +100kg,,,,
Marius Ziukas,Lithuania,27,184,72,M,6/29/1985,Athletics,Men's 20km Race Walk,,,,
Marius-Vasile Cozmiuc,Romania,19,197,90,M,09/07/1992,Rowing,Men's Four,,,,
Mariusz Fyrstenberg,Poland,32,190,79,M,07/08/1980,Tennis,Men's Doubles,,,,
Mariusz Prudel,Poland,26,191,83,M,1/21/1986,Beach Volleyball,Men's Beach Volleyball,,,,
Mariya Baklakova,Russian Federation,15,172,60,F,3/14/1997,Swimming,Women's 4x200m Freestyle Relay,,,,
Mariya Bespalova,Russian Federation,26,183,85,F,5/21/1986,Athletics,Women's Hammer Throw,,,,
Mariya Koroleva,United States of America,22,165,,F,04/10/1990,Synchronised Swimming,Women's Duets,,,,
Mariya Ryemyen,Ukraine,25,171,62,F,08/02/1987,Athletics,Women's 200m; Women's 4 x 100m Relay,,,,
Mariya Savinova,Russian Federation,26,172,60,F,8/13/1985,Athletics,Women's 800m,,,,
Mariya Stadnyk,Azerbaijan,24,157,48,F,06/03/1988,Wrestling,Women's 48kg Freestyle,YES,,1,
Marjo Yli-Kiikka,Finland,34,162,65,F,6/16/1978,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Mark Anthony,Australia,22,187,90,M,10/13/1989,Judo,Men's -90kg,,,,
Mark Barriga,Philippines,19,157,,M,06/11/1993,Boxing,Men's Light Fly (49kg),,,,
Mark Cavendish,Great Britain,27,175,69,M,5/21/1985,Cycling - Road,Men's Road Race,,,,
Mark de Jonge,Canada,28,180,87,M,2/15/1984,Canoe Sprint,Men's Kayak Single (K1) 200m,,,,
Mark Hawkins,Great Britain,26,182,71,M,12/28/1985,Handball,Men's Handball,,,,
Mark Hunter,Great Britain,34,182,73,M,07/01/1978,Rowing,Men's Lightweight Double Sculls,YES,,0.5,
Mark Javier,Philippines,30,173,53,M,10/20/1981,Archery,Men's Individual,,,,
Mark Kenneally,Ireland,31,192,76,M,4/18/1981,Athletics,Men's Marathon,,,,
Mark Kiprotich Muttai,Kenya,34,172,58,M,3/23/1978,Athletics,Men's 4 x 400m Relay,,,,
Mark Knowles,Australia,28,183,75,M,03/10/1984,Hockey,Men's Hockey,,,,
Mark Kyle,Ireland,39,182,80,M,06/05/1973,Equestrian,Individual Eventing; Team Eventing; COOLIO,,,,
Mark Lewis-Francis,Great Britain,29,180,95,M,09/04/1982,Athletics,Men's 4 x 100m Relay,,,,
Mark Mcgivern,Great Britain,29,195,87,M,2/24/1983,Volleyball,Men's Volleyball,,,,
Mark Mendelblatt,United States of America,39,188,88,M,2/19/1973,Sailing,Men's Star,,,,
Mark Oldershaw,Canada,29,186,94,M,02/07/1983,Canoe Sprint,Men's Canoe Single (C1) 1000m,YES,,,1
Mark Overgaard Madsen,Denmark,27,177,74,M,9/23/1984,Wrestling,Men's 74kg Greco-Roman,,,,
Mark Plotyczer,Great Britain,25,195,86,M,2/19/1987,Volleyball,Men's Volleyball,,,,
Mark Todd,New Zealand,56,190,82,M,03/01/1956,Equestrian,Individual Eventing; Team Eventing; CAMPINO,YES,,,0.2
Mark Worthington,Australia,29,203,107,M,06/08/1983,Basketball,Men's Basketball,,,,
Marketa Slukova,Czech Republic,24,181,69,F,6/28/1988,Beach Volleyball,Women's Beach Volleyball,,,,
Markiyan Ivashko,Ukraine,33,183,100,M,5/18/1979,Archery,Men's Individual; Men's Team,,,,
Marko Blazhevski,Former Yugoslav Republic of Macedonia,19,183,73,M,11/10/1992,Swimming,Men's 400m Individual Medley,,,,
Marko Jevtovic,Serbia,25,174,74,M,01/05/1987,Table Tennis,Men's Singles,,,,
Marko Kopljar,Croatia,26,210,108,M,02/12/1986,Handball,Men's Handball,,,,
Marko Novakovic,Serbia,23,186,95,M,01/04/1989,Canoe Sprint,Men's Kayak Single (K1) 200m,,,,
Marko Podrascanin,Serbia,24,204,92,M,8/29/1987,Volleyball,Men's Volleyball,,,,
Marko Vujin,Serbia,27,197,104,M,12/07/1984,Handball,Men's Handball,,,,
Markus Deibler,Germany,22,197,94,M,1/28/1990,Swimming,Men's 200m Individual Medley; Men's 4x100m Freestyle Relay,,,,
Markus Munch,Germany,26,207,130,M,6/13/1986,Athletics,Men's Discus Throw,,,,
Markus Oscarsson,Sweden,35,184,85,M,05/09/1977,Canoe Sprint,Men's Kayak Double (K2) 1000m,,,,
Markus Rogan,Austria,30,195,91,M,05/04/1982,Swimming,Men's 200m Individual Medley; Men's 4x200m Freestyle Relay,,,,
Markus Steuerwald,Germany,23,182,86,M,03/07/1989,Volleyball,Men's Volleyball,,,,
Marleen van Iersel,Netherlands,24,178,68,F,01/07/1988,Beach Volleyball,Women's Beach Volleyball,,,,
Marleen Veldhuis,Netherlands,33,182,67,F,6/29/1979,Swimming,Women's 50m Freestyle; Women's 4x100m Freestyle Relay; Women's 4x100m Medley Relay,YES,,0.25,1
Marlen Esparza,United States of America,23,160,,F,7/29/1989,Boxing,Women's Fly (51kg),YES,,,1
Marlena Wesh,Haiti,21,,,F,2/16/1991,Athletics,Women's 200m; Women's 400m,,,,
Marlene Harnois,France,25,174,,F,10/22/1986,Taekwondo,Women's -57kg,YES,,,1
Marlene Sinnig,Germany,27,176,69,F,12/11/1984,Rowing,Women's Pair,,,,
Marlies Mejias Garcia,Cuba,19,,,F,12/29/1992,Cycling - Track,Women's Omnium,,,,
Marlo Delgado Suarez,Ecuador,19,184,,M,05/06/1993,Boxing,Men's Middle (75kg),,,,
Marlon Licona,Honduras,21,164,55,M,02/09/1991,Football,Men's Football,,,,
Maro Jokovic,Croatia,24,203,95,M,10/01/1987,Water Polo,Men's Water Polo,,,,
Maroi Mezien,Tunisia,23,162,48,F,10/28/1988,Wrestling,Women's 48kg Freestyle,,,,
Marouan Chouiref,Tunisia,22,197,102,M,5/27/1990,Handball,Men's Handball,,,,
Marouan Kechrid,Tunisia,31,176,85,M,06/02/1981,Basketball,Men's Basketball,,,,
Marouan Laghnej,Tunisia,26,188,92,M,4/22/1986,Basketball,Men's Basketball,,,,
Marouane M'rabet,Tunisia,27,184,81,M,06/05/1985,Volleyball,Men's Volleyball,,,,
Marouen Maggaiz,Tunisia,29,191,105,M,7/28/1983,Handball,Men's Handball,,,,
Marquinhos Vieira Sousa,Brazil,28,207,102,M,5/31/1984,Basketball,Men's Basketball,,,,
Marquise Goodwin,United States of America,21,178,82,M,11/19/1990,Athletics,Men's Long Jump,,,,
Marry Ntsweng,South Africa,22,155,49,F,12/19/1989,Football,Women's Football,,,,
Marsha Marescia,South Africa,29,165,56,F,1/13/1983,Hockey,Women's Hockey,,,,
Mart Israel,Estonia,28,190,128,M,9/23/1983,Athletics,Men's Discus Throw,,,,
Marta Bach Pascual,Spain,19,176,66,F,2/17/1993,Water Polo,Women's Water Polo,YES,,0.076,
Marta Dominguez,Spain,36,163,52,F,11/03/1975,Athletics,Women's 3000m Steeplechase,,,,
Marta Jeschke,Poland,26,164,58,F,06/02/1986,Athletics,Women's 100m; Women's 4 x 100m Relay,,,,
Marta Kharitonova,Russian Federation,27,166,62,F,9/26/1984,Canoe Slalom,Women's Kayak (K1),,,,
Marta Mangue Gonzalez,Spain,29,170,75,F,4/23/1983,Handball,Women's Handball,,,,
Marta Menegatti,Italy,21,180,70,F,8/16/1990,Beach Volleyball,Women's Beach Volleyball,,,,
Marta Pagnini,Italy,21,175,,F,1/21/1991,Gymnastics - Rhythmic,Group All-Around,,,,
Marta Pihan-Kulesza,Poland,25,163,,F,7/23/1987,Gymnastics - Artistic,Women's Individual All-Around; Women's Qualification,,,,
Marta Santos,Angola,23,158,64,F,12/25/1988,Handball,Women's Handball,,,,
Marta Tibor,Serbia,29,175,73,F,06/07/1983,Canoe Sprint,Women's Kayak Four (K4) 500m,,,,
Marta Vieira da Silva,Brazil,26,161,57,F,2/19/1986,Football,Women's Football,,,,
Marta Walczykiewicz,Poland,25,165,62,F,08/01/1987,Canoe Sprint,Women's Kayak Single (K1) 200m; Women's Kayak Four (K4) 500m,,,,
Martha Matsa,Greece,25,184,65,F,04/05/1987,Swimming,Women's 4x100m Freestyle Relay,,,,
Martha Mccabe,Canada,22,168,58,F,08/04/1989,Swimming,Women's 200m Breaststroke,,,,
Marthe Enger Eide,Norway,22,,,F,11/17/1989,Sailing,Women's Laser Radial,,,,
Marthe Koala,Burkina Faso,18,174,68,F,03/08/1994,Athletics,Women's 100m Hurdles,,,,
Marti Malloy,United States of America,26,160,57,F,6/23/1986,Judo,Women's -57kg,YES,,,1
Martin Campana,Uruguay,23,185,75,M,5/29/1989,Football,Men's Football,,,,
Martin Dent,Australia,33,180,69,M,02/08/1979,Athletics,Men's Marathon,,,,
Martin Elmiger,Switzerland,33,181,72,M,9/23/1978,Cycling - Road,Men's Road Race,,,,
Martin Haener,Germany,23,183,83,M,8/27/1988,Hockey,Men's Hockey,,,,
Martin Hare,Great Britain,22,193,93,M,11/28/1989,Handball,Men's Handball,,,,
Martin Hollstein,Germany,25,192,88,M,04/02/1987,Canoe Sprint,Men's Kayak Double (K2) 1000m,YES,,,0.5
Martin Ivanov,Bulgaria,24,172,66,M,07/11/1988,Judo,Men's -66kg,,,,
Martin Jankovec,Slovakia,24,183,83,M,8/25/1987,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Martin Keller,Germany,25,180,84,M,9/26/1986,Athletics,Men's 4 x 100m Relay,,,,
Martin Klizan,Slovakia,23,190,77,M,07/11/1989,Tennis,Men's Singles; Men's Doubles,,,,
Martin Konecny,Czech Republic,27,170,,M,08/06/1984,Gymnastics - Artistic,Men's Qualification,,,,
Martin Kuehner,Germany,31,185,70,M,10/15/1980,Rowing,Men's Lightweight Four,,,,
Martin Leiva,Argentina,32,210,112,M,4/23/1980,Basketball,Men's Basketball,,,,
Martin Liivamagi,Estonia,24,185,85,M,07/05/1988,Swimming,Men's 100m Breaststroke; Men's 200m Individual Medley,,,,
Martin Maric,Croatia,28,197,120,M,4/19/1984,Athletics,Men's Discus Throw,,,,
Martin Montoya,Spain,21,174,74,M,4/14/1991,Football,Men's Football,,,,
Martin Padar,Estonia,33,194,140,M,04/11/1979,Judo,Men's +100kg,,,,
Martin Podhrasky,Czech Republic,28,192,85,M,10/11/1983,Shooting,Men's 25m Rapid Fire Pistol,,,,
Martin Reader,Canada,28,198,97,M,05/02/1984,Beach Volleyball,Men's Beach Volleyball,,,,
Martin Rodriguez,Uruguay,22,191,84,M,9/20/1989,Football,Men's Football,,,,
Martin Sauer,Germany,29,169,55,M,12/17/1982,Rowing,Men's Eight,YES,0.111,,
Martin Sinkovic,Croatia,22,188,95,M,11/10/1989,Rowing,Men's Quadruple Sculls,YES,,0.25,
Martin Spinnangr,Norway,25,197,88,M,05/05/1987,Beach Volleyball,Men's Beach Volleyball,,,,
Martin Stamper,Great Britain,25,180,,M,8/21/1986,Taekwondo,Men's -68kg,,,,
Martin Tesovic,Slovakia,37,182,105,M,10/26/1974,Weightlifting,Men's 105kg,,,,
Martin Verner,Czech Republic,32,194,90,M,3/15/1980,Swimming,Men's 100m Freestyle,,,,
Martin Wierig,Germany,25,202,124,M,06/10/1987,Athletics,Men's Discus Throw,,,,
Martin Wolfram,Germany,20,164,55,M,1/29/1992,Diving,Men's 10m Platform,,,,
Martina Cavallero,Argentina,22,163,58,F,05/07/1990,Hockey,Women's Hockey,,,,
Martina Emanuel,Great Britain,26,169,64,F,26/12/1985 (ITA),Fencing,Women's Team Foil,,,,
Martina Granstrom,Sweden,20,178,73,F,08/05/1991,Swimming,Women's 100m Butterfly; Women's 200m Butterfly; Women's 4x100m Medley Relay,,,,
Martina Grimaldi,Italy,23,172,65,F,9/28/1988,Swimming,Women's 10km Marathon,YES,,,1
Martina Hrasnova,Slovakia,29,177,80,F,3/21/1983,Athletics,Women's Hammer Throw,,,,
Martina Kohlova,Slovakia,27,168,68,F,11/16/1984,Canoe Sprint,Women's Kayak Double (K2) 500m,,,,
Martina Moravcikova,Czech Republic,23,178,65,F,8/13/1988,Swimming,Women's 200m Breaststroke,,,,
Martina Pretelli,San Marino,23,162,53,F,12/28/1988,Athletics,Women's 100m,,,,
Martina Ratej,Slovenia,30,178,78,F,11/02/1981,Athletics,Women's Javelin Throw,,,,
Martina van Berkel,Switzerland,23,166,54,F,1/23/1989,Swimming,Women's 200m Butterfly,,,,
Martine Dugrenier,Canada,33,166,63,F,06/12/1979,Wrestling,Women's 63kg Freestyle,,,,
Martino Goretti,Italy,26,186,73,M,9/27/1985,Rowing,Men's Lightweight Four,,,,
Martins Plavins,Latvia,27,190,91,M,05/08/1985,Beach Volleyball,Men's Beach Volleyball,YES,,,0.5
Martyn Irvine,Ireland,27,179,80,M,06/06/1985,Cycling - Track,Men's Omnium,,,,
Martyn Rooney,Great Britain,25,198,81,M,04/03/1987,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Martyna Opon,Poland,20,169,55,F,09/12/1991,Athletics,Women's 4 x 100m Relay,,,,
Martyna Synoradzka,Poland,24,182,65,F,1/30/1988,Fencing,Women's Individual Foil; Women's Team Foil,,,,
